Category: All categories

Week,anxiety: (Worldwide),Australia: (Worldwide),Italy: (Worldwide),Netherlands: (Worldwide),India: (Worldwide)
2024-09-29,2,12,4,1,39
2024-10-06,2,12,4,1,44
2024-10-13,2,13,4,1,48
2024-10-20,2,12,3,1,43
2024-10-27,2,12,3,1,36
2024-11-03,2,16,3,1,36
2024-11-10,2,19,3,2,41
2024-11-17,2,26,4,1,42
2024-11-24,2,23,3,1,40
2024-12-01,2,22,3,1,38
2024-12-08,2,18,3,1,35
2024-12-15,2,25,3,1,45
2024-12-22,1,26,3,1,47
2024-12-29,2,35,3,1,53
2025-01-05,2,15,4,1,34
2025-01-12,2,14,4,1,31
2025-01-19,2,14,3,1,37
2025-01-26,2,17,3,1,39
2025-02-02,2,14,4,1,38
2025-02-09,2,14,3,1,40
2025-02-16,2,15,4,1,36
2025-02-23,2,18,4,1,44
2025-03-02,2,23,3,1,49
2025-03-09,2,12,4,1,41
2025-03-16,3,16,4,2,28
2025-03-23,2,13,4,2,28
2025-03-30,2,11,4,1,27
2025-04-06,2,12,4,1,25
2025-04-13,2,11,4,1,27
2025-04-20,2,11,4,1,31
2025-04-27,2,12,4,1,32
2025-05-04,2,11,4,1,51
2025-05-11,2,11,4,1,34
2025-05-18,2,11,4,1,30
2025-05-25,2,11,4,1,28
2025-06-01,2,13,5,2,30
2025-06-08,2,21,5,2,42
2025-06-15,2,12,4,2,48
2025-06-22,2,16,4,2,52
2025-06-29,2,14,5,1,57
2025-07-06,2,14,5,2,54
2025-07-13,2,14,4,2,49
2025-07-20,2,15,5,2,52
2025-07-27,2,15,5,2,61
2025-08-03,2,13,6,3,51
2025-08-10,2,20,6,3,43
2025-08-17,2,19,6,3,44
2025-08-24,2,17,6,4,38
2025-08-31,2,14,6,4,45
2025-09-07,2,14,7,3,54
2025-09-14,2,14,4,1,54
2025-09-21,2,11,4,1,56
2025-09-28,2,13,4,1,100
