Category: All categories

Week,can't sleep: (Worldwide),United States: (Worldwide),United Kingdom: (Worldwide),Finland: (Worldwide),Sweden: (Worldwide)
2024-09-29,1,21,3,5,7
2024-10-06,1,18,3,6,8
2024-10-13,1,20,3,12,8
2024-10-20,1,23,3,5,8
2024-10-27,1,23,3,5,7
2024-11-03,1,100,3,5,8
2024-11-10,1,25,3,6,8
2024-11-17,1,22,3,7,9
2024-11-24,1,15,3,6,8
2024-12-01,1,20,3,6,8
2024-12-08,1,19,3,6,8
2024-12-15,1,17,3,6,8
2024-12-22,1,13,2,7,8
2024-12-29,1,15,2,7,8
2025-01-05,1,18,3,6,8
2025-01-12,1,19,3,6,8
2025-01-19,1,22,3,6,7
2025-01-26,1,22,3,5,8
2025-02-02,1,23,3,5,12
2025-02-09,1,22,3,8,11
2025-02-16,1,24,3,8,10
2025-02-23,1,27,3,5,8
2025-03-02,1,24,3,5,8
2025-03-09,1,22,3,5,8
2025-03-16,1,22,3,6,8
2025-03-23,1,22,3,6,9
2025-03-30,1,24,3,5,8
2025-04-06,1,22,3,5,7
2025-04-13,1,22,3,5,8
2025-04-20,1,24,3,5,7
2025-04-27,1,27,3,5,7
2025-05-04,1,24,3,5,9
2025-05-11,1,23,3,7,9
2025-05-18,1,19,3,6,9
2025-05-25,1,17,3,5,8
2025-06-01,1,17,3,7,10
2025-06-08,1,19,3,8,10
2025-06-15,1,21,3,6,8
2025-06-22,1,24,3,6,9
2025-06-29,1,20,3,5,8
2025-07-06,1,19,3,6,9
2025-07-13,1,19,3,5,14
2025-07-20,1,20,3,6,10
2025-07-27,1,26,4,8,12
2025-08-03,1,33,5,9,16
2025-08-10,1,37,5,10,18
2025-08-17,1,38,5,11,18
2025-08-24,1,32,6,9,16
2025-08-31,1,34,5,11,18
2025-09-07,1,41,4,14,18
2025-09-14,1,22,4,7,9
2025-09-21,1,20,3,5,8
2025-09-28,1,16,3,5,7
