Category: All categories

Week,can't sleep: (Worldwide),South Korea: (Worldwide),Brazil: (Worldwide),Mexico: (Worldwide),Switzerland: (Worldwide)
2024-09-29,1,4,13,69,8
2024-10-06,1,5,22,74,9
2024-10-13,1,5,22,79,8
2024-10-20,1,6,14,69,8
2024-10-27,1,4,16,72,8
2024-11-03,1,4,17,68,8
2024-11-10,1,4,21,82,8
2024-11-17,1,4,22,79,10
2024-11-24,1,4,13,65,8
2024-12-01,1,24,14,60,8
2024-12-08,1,6,13,57,8
2024-12-15,1,4,12,57,8
2024-12-22,1,5,13,56,8
2024-12-29,1,14,13,58,9
2025-01-05,1,6,13,69,9
2025-01-12,1,5,13,75,8
2025-01-19,1,4,13,82,8
2025-01-26,1,4,13,79,8
2025-02-02,1,4,13,76,8
2025-02-09,1,4,14,84,8
2025-02-16,1,4,13,75,8
2025-02-23,1,4,13,75,8
2025-03-02,1,4,14,75,8
2025-03-09,1,4,14,68,8
2025-03-16,1,4,28,84,9
2025-03-23,1,5,41,81,8
2025-03-30,1,5,15,71,8
2025-04-06,1,5,14,65,8
2025-04-13,1,4,13,55,8
2025-04-20,<1,4,13,62,8
2025-04-27,<1,4,14,64,8
2025-05-04,1,4,14,65,8
2025-05-11,<1,4,14,64,11
2025-05-18,<1,4,13,63,9
2025-05-25,1,4,14,60,12
2025-06-01,1,5,27,71,11
2025-06-08,1,5,25,78,11
2025-06-15,1,4,16,85,10
2025-06-22,1,5,17,76,10
2025-06-29,1,5,17,93,10
2025-07-06,1,6,16,95,11
2025-07-13,1,6,17,63,11
2025-07-20,1,6,17,65,11
2025-07-27,1,8,24,70,13
2025-08-03,1,13,28,82,19
2025-08-10,1,17,29,88,23
2025-08-17,1,15,28,86,20
2025-08-24,1,13,26,79,17
2025-08-31,1,13,37,90,18
2025-09-07,1,14,36,100,19
2025-09-14,1,5,16,73,10
2025-09-21,1,4,13,64,8
2025-09-28,1,4,14,59,8
