Category: All categories

Week,depression: (Worldwide),Australia: (Worldwide),Italy: (Worldwide),Netherlands: (Worldwide),India: (Worldwide)
2024-09-29,1,12,4,1,40
2024-10-06,1,13,4,1,45
2024-10-13,1,13,4,1,49
2024-10-20,1,12,3,1,43
2024-10-27,1,12,3,1,37
2024-11-03,1,16,3,2,36
2024-11-10,2,20,3,2,42
2024-11-17,1,26,4,1,42
2024-11-24,1,23,3,1,40
2024-12-01,2,22,3,1,39
2024-12-08,2,18,3,1,35
2024-12-15,1,25,3,1,45
2024-12-22,1,26,3,1,47
2024-12-29,1,35,4,1,54
2025-01-05,1,15,4,1,34
2025-01-12,1,14,4,1,31
2025-01-19,1,14,3,1,37
2025-01-26,1,17,4,1,39
2025-02-02,1,14,4,1,39
2025-02-09,1,15,4,1,41
2025-02-16,1,15,4,1,37
2025-02-23,2,18,4,1,44
2025-03-02,2,24,4,1,50
2025-03-09,1,13,4,1,42
2025-03-16,1,17,4,2,28
2025-03-23,1,13,4,2,28
2025-03-30,2,12,4,1,27
2025-04-06,2,12,4,1,25
2025-04-13,1,11,4,1,28
2025-04-20,1,11,4,1,32
2025-04-27,1,12,4,1,33
2025-05-04,1,11,4,1,51
2025-05-11,1,11,4,1,34
2025-05-18,1,11,4,1,30
2025-05-25,1,11,4,1,29
2025-06-01,1,13,5,2,30
2025-06-08,1,21,5,2,42
2025-06-15,1,12,4,2,48
2025-06-22,1,17,4,2,52
2025-06-29,1,14,5,1,57
2025-07-06,1,14,5,2,54
2025-07-13,1,14,5,2,50
2025-07-20,1,16,5,2,52
2025-07-27,1,15,5,2,62
2025-08-03,2,13,6,3,51
2025-08-10,2,20,6,3,43
2025-08-17,2,19,6,3,44
2025-08-24,2,17,6,4,39
2025-08-31,2,14,7,4,45
2025-09-07,2,14,7,3,54
2025-09-14,1,14,4,1,55
2025-09-21,1,11,4,1,57
2025-09-28,1,13,4,1,100
